#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"29688","1998-067HT",41463,"PAYLOAD","DIWATA-1","RP","1998-11-20","TTMTR","",90.95,51.63,322,321,"",NA,0,"MEDIUM",7013,1998,67,"HT","Y","DIWATA-1","1998-067HT",41463
"29689","1984-095A",15259,"PAYLOAD","COSMOS 1593 (GLONASS)","CIS","1984-09-04","TTMTR","",675.72,64.09,19189,19070,"",NA,0,"LARGE",6992,1984,95,"A","Y","COSMOS 1593 (GLONASS)","1984-095A",15259
"29690","1991-082A",21798,"PAYLOAD","DMSP 5D-2 F11 (USA 73)","US","1991-11-28","AFWTR","",101.66,98.92,846,829,"",NA,0,"LARGE",7014,1991,82,"A","Y","DMSP 5D-2 F11 (USA 73)","1991-082A",21798
"29691","1981-022A",12320,"PAYLOAD","COSMOS 1250","CIS","1981-03-06","PKMTR","",114.45,74.03,1471,1389,"",NA,0,"MEDIUM",7012,1981,22,"A","Y","COSMOS 1250","1981-022A",12320
"29692","2016-033C",41558,"PAYLOAD","NUSAT 2","ARGN","2016-05-30","TSC","",94.17,97.42,488,468,"",NA,0,"MEDIUM",7013,2016,33,"C","Y","NUSAT 2","2016-033C",41558
"29693","1991-050A",21574,"PAYLOAD","ERS 1","ESA","1991-07-17","FRGUI","",100.16,98.55,790,742,"",NA,0,"LARGE",7012,1991,50,"A","Y","ERS 1","1991-050A",21574
"29694","1991-042A",21422,"PAYLOAD","COSMOS 2151","CIS","1991-06-13","PKMTR","",96.51,82.5,601,582,"",NA,0,"LARGE",7012,1991,42,"A","Y","COSMOS 2151","1991-042A",21422
"29695","1992-044A",22049,"PAYLOAD","GEOTAIL","JPN","1992-07-24","AFETR","",7489,20.32,192641,48197,"",NA,0,"LARGE",7014,1992,44,"A","Y","GEOTAIL","1992-044A",22049
"29696","2016-026B",41465,"PAYLOAD","AIST 2D","CIS","2016-04-28","VOSTO","",93.88,97.18,471,457,"",NA,0,"LARGE",7013,2016,26,"B","Y","AIST 2D","2016-026B",41465
"29697","1980-026A",11750,"PAYLOAD","COSMOS 1171","CIS","1980-04-03","PKMTR","",104.83,65.84,995,978,"",NA,0,"LARGE",7012,1980,26,"A","Y","COSMOS 1171","1980-026A",11750
"29698","1981-074F",12641,"PAYLOAD","COSMOS 1292","CIS","1981-08-06","PKMTR","",115.32,74.03,1477,1463,"",NA,0,"MEDIUM",7012,1981,74,"F","Y","COSMOS 1292","1981-074F",12641
"29699","2017-008M",41959,"PAYLOAD","FLOCK 3P 21","US","2017-02-15","SRI","",94.35,97.4,492,482,"",NA,0,"SMALL",7013,2017,8,"M","Y","FLOCK 3P 21","2017-008M",41959
"29701","1980-102D",12110,"PAYLOAD","COSMOS 1231","CIS","1980-12-23","PKMTR","",114.55,73.99,1464,1405,"",NA,0,"MEDIUM",7012,1980,102,"D","Y","COSMOS 1231","1980-102D",12110
"29702","1996-029A",23893,"PAYLOAD","USA 119","US","1996-05-12","AFWTR","",107.39,63.37,1604,608,"",NA,0,"",6954,1996,29,"A","Y","USA 119","1996-029A",23893
"29703","2016-067G",41854,"PAYLOAD","PROMETHEUS 2-1","US","2016-11-11","AFWTR","",96.2,97.92,583,570,"",NA,0,"SMALL",7006,2016,67,"G","Y","PROMETHEUS 2-1","2016-067G",41854
"29705","2007-013B",31136,"PAYLOAD","AAM/PSLV","IND","2007-04-23","SRI","",93.09,2.5,429,423,"",NA,0,"LARGE",7008,2007,13,"B","Y","AAM/PSLV","2007-013B",31136
"29707","2014-037A",40069,"PAYLOAD","METEOR M2","CIS","2014-07-08","TTMTR","",101.36,98.55,828,818,"",NA,0,"LARGE",7012,2014,37,"A","Y","METEOR M2","2014-037A",40069
"29708","2017-008CR",42035,"PAYLOAD","FLOCK 3P 63","US","2017-02-15","SRI","",94.39,97.4,494,484,"",NA,0,"SMALL",7014,2017,8,"CR","Y","FLOCK 3P 63","2017-008CR",42035
"29710","2017-008U",41966,"PAYLOAD","FLOCK 3P 2","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"U","Y","FLOCK 3P 2","2017-008U",41966
"29711","2017-008DA",42044,"PAYLOAD","FLOCK 3P 87","US","2017-02-15","SRI","",94.39,97.41,494,484,"",NA,0,"SMALL",7014,2017,8,"DA","Y","FLOCK 3P 87","2017-008DA",42044
"29712","1991-084B",21814,"PAYLOAD","INMARSAT 2-F3","IM","1991-12-16","FRGUI","",1499.03,12.09,37077,36943,"",NA,0,"LARGE",7014,1991,84,"B","Y","INMARSAT 2-F3","1991-084B",21814
"29713","2017-008C",41950,"PAYLOAD","FLOCK 3P 20","US","2017-02-15","SRI","",94.39,97.4,495,484,"",NA,0,"SMALL",7013,2017,8,"C","Y","FLOCK 3P 20","2017-008C",41950
"29714","1991-050B",21575,"PAYLOAD","OSCAR 22 (UoSAT 5)","UK","1991-07-17","FRGUI","",99.94,98.68,761,750,"",NA,0,"MEDIUM",7012,1991,50,"B","Y","OSCAR 22 (UoSAT 5)","1991-050B",21575
"29715","1980-102C",12109,"PAYLOAD","COSMOS 1230","CIS","1980-12-23","PKMTR","",114.48,73.99,1464,1399,"",NA,0,"MEDIUM",7012,1980,102,"C","Y","COSMOS 1230","1980-102C",12109
"29716","2014-036B",40062,"PAYLOAD","GONETS M 09 (M19)","CIS","2014-07-03","PKMTR","",115.86,82.51,1511,1477,"",NA,0,"LARGE",7012,2014,36,"B","Y","GONETS M 09 (M19)","2014-036B",40062
"29717","2016-033B",41557,"PAYLOAD","NUSAT 1","ARGN","2016-05-30","TSC","",94.28,97.42,494,473,"",NA,0,"MEDIUM",7015,2016,33,"B","Y","NUSAT 1","2016-033B",41557
"29718","2014-033H",40017,"PAYLOAD","TABLETSAT AURORA","CIS","2014-06-19","OREN","",96.43,97.99,603,572,"",NA,0,"MEDIUM",7012,2014,33,"H","Y","TABLETSAT AURORA","2014-033H",40017
"29719","1980-058G",11881,"PAYLOAD","COSMOS 1198","CIS","1980-07-09","PKMTR","",115.78,74.02,1509,1473,"",NA,0,"MEDIUM",7012,1980,58,"G","Y","COSMOS 1198","1980-058G",11881
"29720","1991-041A",21418,"PAYLOAD","COSMOS 2150","CIS","1991-06-11","PKMTR","",100.58,74.04,798,774,"",NA,0,"LARGE",7012,1991,41,"A","Y","COSMOS 2150","1991-041A",21418
"29721","2017-001A",41911,"PAYLOAD","TJS-2","PRC","2017-01-05","XSC","",1436.12,0.2,35812,35762,"",NA,0,"LARGE",7014,2017,1,"A","Y","TJS-2","2017-001A",41911
"29722","1999-031D",25773,"PAYLOAD","GLOBALSTAR M052","GLOB","1999-06-10","AFETR","",129.14,51.99,2087,2083,"",NA,0,"LARGE",7012,1999,31,"D","Y","GLOBALSTAR M052","1999-031D",25773
"29723","2006-020A",29162,"PAYLOAD","EUTE 113 WEST A(SATMEX 6","EUTE","2006-05-27","FRGUI","",1436.09,0.05,35799,35774,"",NA,0,"LARGE",7015,2006,20,"A","Y","EUTE 113 WEST A(SATMEX 6","2006-020A",29162
"29725","2013-067A",39451,"PAYLOAD","SWARM B","ESA","2013-11-22","PKMTR","",94.64,87.75,503,499,"",NA,0,"LARGE",7012,2013,67,"A","Y","SWARM B","2013-067A",39451
"29726","1982-025A",13113,"PAYLOAD","METEOR 2-8","CIS","1982-03-25","PKMTR","",103.94,82.54,959,931,"",NA,0,"LARGE",7005,1982,25,"A","Y","METEOR 2-8","1982-025A",13113
"29727","1981-006A",12149,"PAYLOAD","COSMOS 1241","CIS","1981-01-21","PKMTR","",104.94,65.82,1009,974,"",NA,0,"LARGE",7012,1981,6,"A","Y","COSMOS 1241","1981-006A",12149
"29728","2014-035A",40059,"PAYLOAD","OCO 2","US","2014-07-02","AFWTR","",98.83,98.2,703,702,"",NA,0,"LARGE",7012,2014,35,"A","Y","OCO 2","2014-035A",40059
"29729","1981-022B",12321,"PAYLOAD","COSMOS 1251","CIS","1981-03-06","PKMTR","",114.61,74.03,1472,1403,"",NA,0,"MEDIUM",7012,1981,22,"B","Y","COSMOS 1251","1981-022B",12321
"29730","2013-066J",39424,"PAYLOAD","CINEMA 2","US","2013-11-21","OREN","",97.79,97.63,718,589,"",NA,0,"SMALL",7012,2013,66,"J","Y","CINEMA 2","2013-066J",39424
"29731","2014-036A",40061,"PAYLOAD","GONETS M 08 (M18)","CIS","2014-07-03","PKMTR","",115.86,82.51,1517,1472,"",NA,0,"LARGE",7012,2014,36,"A","Y","GONETS M 08 (M18)","2014-036A",40061
"29732","2006-049A",29520,"PAYLOAD","XM-4","US","2006-10-30","SEAL","",1436.11,0,35787,35786,"",NA,0,"LARGE",7015,2006,49,"A","Y","XM-4","2006-049A",29520
"29733","2014-066A",40286,"PAYLOAD","SJ-11-08","PRC","2014-10-27","JSC","",98.51,98.06,697,678,"",NA,0,"LARGE",7012,2014,66,"A","Y","SJ-11-08","2014-066A",40286
"29734","2016-049A",41727,"PAYLOAD","GAOFEN 3","PRC","2016-08-09","TSC","",99.85,98.41,752,750,"",NA,0,"LARGE",7014,2016,49,"A","Y","GAOFEN 3","2016-049A",41727
"29736","2014-034C",40055,"PAYLOAD","NLS 7.1/CANX 4","CA","2014-06-30","SRI","",97.64,98.22,657,635,"",NA,0,"MEDIUM",7012,2014,34,"C","Y","NLS 7.1/CANX 4","2014-034C",40055
"29737","2006-059A",29656,"PAYLOAD","ETS 8","JPN","2006-12-18","TNSTA","",1454.46,6.95,36150,36141,"",NA,0,"LARGE",7015,2006,59,"A","Y","ETS 8","2006-059A",29656
"29739","2014-021A",39678,"PAYLOAD","EGYPTSAT 2","EGYP","2014-04-16","TTMTR","",99.03,51.62,713,711,"",NA,0,"LARGE",7012,2014,21,"A","Y","EGYPTSAT 2","2014-021A",39678
"29740","2014-033G",40016,"PAYLOAD","SAUDISAT 4","SAUD","2014-06-19","OREN","",97.61,97.76,677,611,"",NA,0,"MEDIUM",7012,2014,33,"G","Y","SAUDISAT 4","2014-033G",40016
"29741","2014-033J",40018,"PAYLOAD","APRIZESAT 9","US","2014-06-19","OREN","",97.96,97.74,711,611,"",NA,0,"MEDIUM",7012,2014,33,"J","Y","APRIZESAT 9","2014-033J",40018
"29742","2017-008K",41957,"PAYLOAD","FLOCK 3P 18","US","2017-02-15","SRI","",94.31,97.4,490,480,"",NA,0,"SMALL",7013,2017,8,"K","Y","FLOCK 3P 18","2017-008K",41957
"29743","2013-072C",39464,"PAYLOAD","FIREBIRD B","US","2013-12-06","AFWTR","",96.71,120.47,764,438,"",NA,0,"",6940,2013,72,"C","Y","FIREBIRD B","2013-072C",39464
"29744","2017-008D",41951,"PAYLOAD","FLOCK 3P 8","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"D","Y","FLOCK 3P 8","2017-008D",41951
"29745","1981-075A",12645,"PAYLOAD","INTERCOSMOS 22","CIS","1981-08-07","PKMTR","",101.53,81.22,876,785,"",NA,0,"LARGE",7012,1981,75,"A","Y","INTERCOSMOS 22","1981-075A",12645
"29746","1998-060A",25504,"PAYLOAD","SCD 2","BRAZ","1998-10-23","ERAS","",99.72,25,757,733,"",NA,0,"MEDIUM",7012,1998,60,"A","Y","SCD 2","1998-060A",25504
"29747","2014-036C",40063,"PAYLOAD","GONETS M 10 (M20)","CIS","2014-07-03","PKMTR","",115.86,82.51,1511,1478,"",NA,0,"LARGE",7012,2014,36,"C","Y","GONETS M 10 (M20)","2014-036C",40063
"29748","1999-019A",25676,"PAYLOAD","GLOBALSTAR M045","GLOB","1999-04-15","TTMTR","",117.36,52,1563,1562,"",NA,0,"LARGE",7012,1999,19,"A","Y","GLOBALSTAR M045","1999-019A",25676
"29749","1991-077C",21781,"PAYLOAD","COSMOS 2167","CIS","1991-11-12","PKMTR","",113.91,82.6,1412,1400,"",NA,0,"LARGE",7014,1991,77,"C","Y","COSMOS 2167","1991-077C",21781
"29750","1993-020A",22590,"PAYLOAD","COSMOS 2239","CIS","1993-04-01","PKMTR","",104.7,82.93,998,962,"",NA,0,"LARGE",7000,1993,20,"A","Y","COSMOS 2239","1993-020A",22590
"29751","2013-066D",39419,"PAYLOAD","DUBAISAT 2","UAE","2013-11-21","OREN","",96.38,97.59,595,576,"",NA,0,"LARGE",7012,2013,66,"D","Y","DUBAISAT 2","2013-066D",39419
"29752","1980-058D",11878,"PAYLOAD","COSMOS 1195","CIS","1980-07-09","PKMTR","",115.15,74.02,1475,1449,"",NA,0,"MEDIUM",7012,1980,58,"D","Y","COSMOS 1195","1980-058D",11878
"29753","1980-034D",11971,"PAYLOAD","COSMOS 1176 FUEL CORE","CIS","1980-04-29","TTMTR","",103.09,64.83,942,867,"",NA,0,"MEDIUM",7012,1980,34,"D","Y","COSMOS 1176 FUEL CORE","1980-034D",11971
"29754","1981-116B",12976,"PAYLOAD","COSMOS 1321","CIS","1981-11-28","PKMTR","",117.23,73.98,1631,1481,"",NA,0,"MEDIUM",7005,1981,116,"B","Y","COSMOS 1321","1981-116B",12976
"29755","2014-033AF",40039,"PAYLOAD","PERSEUS M1","CIS","2014-06-19","OREN","",96.9,97.89,619,601,"",NA,0,"MEDIUM",7012,2014,33,"AF","Y","PERSEUS M1","2014-033AF",40039
"29756","2015-054B",40941,"PAYLOAD","ARSAT 2","ARGN","2015-09-30","FRGUI","",1436.1,0.05,35793,35780,"",NA,0,"LARGE",7014,2015,54,"B","Y","ARSAT 2","2015-054B",40941
"29757","1991-055A",21653,"PAYLOAD","INTELSAT 605","ITSO","1991-08-14","FRGUI","",1449.74,11.03,36059,36047,"",NA,0,"LARGE",7014,1991,55,"A","Y","INTELSAT 605","1991-055A",21653
"29758","2014-033AK",40043,"PAYLOAD","TIGRISAT","IRAQ","2014-06-19","OREN","",97.67,97.75,689,606,"",NA,0,"SMALL",7012,2014,33,"AK","Y","TIGRISAT","2014-033AK",40043
"29759","1980-058B",11876,"PAYLOAD","COSMOS 1193","CIS","1980-07-09","PKMTR","",114.75,74.02,1474,1414,"",NA,0,"MEDIUM",7012,1980,58,"B","Y","COSMOS 1193","1980-058B",11876
"29760","2016-031A",41552,"PAYLOAD","THAICOM 8","THAI","2016-05-27","AFETR","",1436.12,0.08,35799,35775,"",NA,0,"LARGE",7015,2016,31,"A","Y","THAICOM 8","2016-031A",41552
"29761","2015-049L",40909,"PAYLOAD","XW-2E","PRC","2015-09-19","TSC","",94.87,97.46,522,502,"",NA,0,"SMALL",7013,2015,49,"L","Y","XW-2E","2015-049L",40909
"29762","1980-097A",12087,"PAYLOAD","COSMOS 1225","CIS","1980-12-05","PKMTR","",104.77,82.95,1024,943,"",NA,0,"LARGE",7012,1980,97,"A","Y","COSMOS 1225","1980-097A",12087
"29763","1999-031B",25771,"PAYLOAD","GLOBALSTAR M049","GLOB","1999-06-10","AFETR","",129.49,51.99,2103,2098,"",NA,0,"LARGE",7012,1999,31,"B","Y","GLOBALSTAR M049","1999-031B",25771
"29764","1981-013A",12297,"PAYLOAD","COSMOS 1244","CIS","1981-02-12","PKMTR","",104.73,82.95,1004,959,"",NA,0,"LARGE",7012,1981,13,"A","Y","COSMOS 1244","1981-013A",12297
"29765","2015-057A",40958,"PAYLOAD","LQSAT","PRC","2015-10-07","JSC","",97.75,97.9,665,637,"",NA,0,"MEDIUM",7006,2015,57,"A","Y","LQSAT","2015-057A",40958
"29766","2014-033X",40031,"PAYLOAD","FLOCK 1C 4","US","2014-06-19","OREN","",96.68,97.92,609,591,"",NA,0,"SMALL",7012,2014,33,"X","Y","FLOCK 1C 4","2014-033X",40031
"29767","2017-008CV",42039,"PAYLOAD","FLOCK 3P 15","US","2017-02-15","SRI","",94.35,97.4,492,482,"",NA,0,"SMALL",7013,2017,8,"CV","Y","FLOCK 3P 15","2017-008CV",42039
"29768","2014-033T",40027,"PAYLOAD","FLOCK 1C 1","US","2014-06-19","OREN","",96.66,97.92,606,591,"",NA,0,"SMALL",7003,2014,33,"T","Y","FLOCK 1C 1","2014-033T",40027
"29769","2016-032A",41554,"PAYLOAD","COSMOS 2516 (GLONASS)","CIS","2016-05-29","PKMTR","",675.73,64.24,19166,19093,"",NA,0,"LARGE",7015,2016,32,"A","Y","COSMOS 2516 (GLONASS)","2016-032A",41554
"29770","1981-074B",12637,"PAYLOAD","COSMOS 1288","CIS","1981-08-06","PKMTR","",115.51,74.03,1492,1465,"",NA,0,"MEDIUM",7005,1981,74,"B","Y","COSMOS 1288","1981-074B",12637
"29771","1981-116G",12981,"PAYLOAD","COSMOS 1326","CIS","1981-11-28","PKMTR","",117,73.98,1611,1481,"",NA,0,"MEDIUM",7005,1981,116,"G","Y","COSMOS 1326","1981-116G",12981
"29772","1991-025C",21218,"PAYLOAD","COSMOS 2141 (GLONASS)","CIS","1991-04-04","TTMTR","",675.73,64.99,19141,19118,"",NA,0,"LARGE",7014,1991,25,"C","Y","COSMOS 2141 (GLONASS)","1991-025C",21218
"29773","2017-008CU",42038,"PAYLOAD","FLOCK 3P 39","US","2017-02-15","SRI","",94.39,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"CU","Y","FLOCK 3P 39","2017-008CU",42038
"29774","1981-037A",12409,"PAYLOAD","COSMOS 1266","CIS","1981-04-21","TTMTR","",103.56,64.76,965,890,"",NA,0,"LARGE",7012,1981,37,"A","Y","COSMOS 1266","1981-037A",12409
"29775","1992-041B",22028,"PAYLOAD","EUTELSAT 2-F4","EUTE","1992-07-09","FRGUI","",1453.46,13.49,36148,36103,"",NA,0,"LARGE",7014,1992,41,"B","Y","EUTELSAT 2-F4","1992-041B",22028
"29776","2007-004E",30798,"PAYLOAD","THEMIS E","US","2007-02-17","AFETR","",1761.83,7.77,82664,1222,"",NA,0,"MEDIUM",7015,2007,4,"E","Y","THEMIS E","2007-004E",30798
"29777","1992-006A",21873,"PAYLOAD","USA 78","US","1992-02-11","AFETR","",1453.92,13.9,36165,36104,"",NA,0,"",7014,1992,6,"A","Y","USA 78","1992-006A",21873
"29778","2016-030A",41549,"PAYLOAD","GALILEO 14 (26B)","ESA","2016-05-24","FRGUI","",844.7,56.54,23231,23213,"",NA,0,"LARGE",7015,2016,30,"A","Y","GALILEO 14 (26B)","2016-030A",41549
"29779","2014-033AM",40045,"PAYLOAD","AEROCUBE 6A","US","2014-06-19","OREN","",97.6,97.77,684,604,"",NA,0,"SMALL",7012,2014,33,"AM","Y","AEROCUBE 6A","2014-033AM",40045
"29780","2014-059A",40261,"PAYLOAD","SJ-11-07","PRC","2014-09-28","JSC","",98.6,98.2,701,682,"",NA,0,"LARGE",7012,2014,59,"A","Y","SJ-11-07","2014-059A",40261
"29781","2004-025C",28368,"PAYLOAD","DEMETER","FR","2004-06-29","TTMTR","",97.66,97.79,647,646,"",NA,0,"MEDIUM",7001,2004,25,"C","Y","DEMETER","2004-025C",28368
"29783","1998-055C",25615,"PAYLOAD","USA 141","US","1998-10-03","AFWTR","",99.65,84.98,749,735,"",NA,0,"LARGE",7012,1998,55,"C","Y","USA 141","1998-055C",25615
"29784","2016-059H",41790,"PAYLOAD","SCATSAT 1","IND","2016-09-26","SRI","",99.25,98.21,727,719,"",NA,0,"LARGE",7014,2016,59,"H","Y","SCATSAT 1","2016-059H",41790
"29785","1981-074A",12636,"PAYLOAD","COSMOS 1287","CIS","1981-08-06","PKMTR","",115.73,74.03,1512,1465,"",NA,0,"MEDIUM",7005,1981,74,"A","Y","COSMOS 1287","1981-074A",12636
"29786","2016-006A",41315,"PAYLOAD","BD-21","PRC","2016-02-01","XSC","",773.23,55.15,21538,21518,"",NA,0,"LARGE",7015,2016,6,"A","Y","BD-21","2016-006A",41315
"29787","2016-040V",41618,"PAYLOAD","FLOCK 2P 3","US","2016-06-22","SRI","",94.39,97.37,495,483,"",NA,0,"SMALL",7006,2016,40,"V","Y","FLOCK 2P 3","2016-040V",41618
"29788","1980-102A",12107,"PAYLOAD","COSMOS 1228","CIS","1980-12-23","PKMTR","",114.41,74,1464,1393,"",NA,0,"MEDIUM",7012,1980,102,"A","Y","COSMOS 1228","1980-102A",12107
"29789","1999-031C",25772,"PAYLOAD","GLOBALSTAR M047","GLOB","1999-06-10","AFETR","",127.22,51.98,2015,1987,"",NA,0,"LARGE",7012,1999,31,"C","Y","GLOBALSTAR M047","1999-031C",25772
"29790","1981-041A",12442,"PAYLOAD","COSMOS 1269","CIS","1981-05-07","PKMTR","",100.54,74.05,791,778,"",NA,0,"LARGE",7012,1981,41,"A","Y","COSMOS 1269","1981-041A",12442
"29791","2015-052D",40933,"PAYLOAD","LEMUR 2 CHRIS","US","2015-09-28","SRI","",97.43,6.01,645,626,"",NA,0,"SMALL",7006,2015,52,"D","Y","LEMUR 2 CHRIS","2015-052D",40933
"29792","2013-059A",39363,"PAYLOAD","YAOGAN 18","PRC","2013-10-29","TSC","",94.85,97.3,513,510,"",NA,0,"LARGE",7012,2013,59,"A","Y","YAOGAN 18","2013-059A",39363
"29793","2006-016A",29107,"PAYLOAD","CLOUDSAT","US","2006-04-28","AFWTR","",98.47,98.19,686,685,"",NA,0,"LARGE",7011,2006,16,"A","Y","CLOUDSAT","2006-016A",29107
"29794","2001-053A",26987,"PAYLOAD","COSMOS 2382 (GLONASS)","CIS","2001-12-01","TTMTR","",675.72,63,19144,19115,"",NA,0,"LARGE",7010,2001,53,"A","Y","COSMOS 2382 (GLONASS)","2001-053A",26987
"29795","2015-049B",40900,"PAYLOAD","NUDT-PHONESAT","PRC","2015-09-19","TSC","",94.56,97.44,506,488,"",NA,0,"SMALL",7013,2015,49,"B","Y","NUDT-PHONESAT","2015-049B",40900
"29796","2017-008BU",42014,"PAYLOAD","FLOCK 3P 54","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"BU","Y","FLOCK 3P 54","2017-008BU",42014
"29797","1991-086E",21835,"PAYLOAD","MAGION 3","CZCH","1991-12-18","PKMTR","",118.93,82.54,2834,432,"",NA,0,"MEDIUM",7014,1991,86,"E","Y","MAGION 3","1991-086E",21835
"29798","2018-040E",43443,"PAYLOAD","ZHUHAI-1 OHS-04","PRC","2018-04-26","JSC","",94.84,97.37,515,506,"",NA,0,"MEDIUM",7012,2018,40,"E","Y","ZHUHAI-1 OHS-04","2018-040E",43443
"29799","2016-040W",41619,"PAYLOAD","BEESAT 4","GER","2016-06-22","SRI","",94.54,97.36,503,489,"",NA,0,"SMALL",7006,2016,40,"W","Y","BEESAT 4","2016-040W",41619
"29800","2002-060B",27618,"PAYLOAD","COSMOS 2396 (GLONASS)","CIS","2002-12-25","TTMTR","",675.74,65.73,19153,19107,"",NA,0,"LARGE",7009,2002,60,"B","Y","COSMOS 2396 (GLONASS)","2002-060B",27618
"29801","2016-040R",41614,"PAYLOAD","FLOCK 2P 12","US","2016-06-22","SRI","",94.39,97.37,496,483,"",NA,0,"SMALL",7014,2016,40,"R","Y","FLOCK 2P 12","2016-040R",41614
"29802","2013-066N",39428,"PAYLOAD","DELFI-N3XT","NETH","2013-11-21","OREN","",98.13,97.69,755,584,"",NA,0,"MEDIUM",7012,2013,66,"N","Y","DELFI-N3XT","2013-066N",39428
"29803","2018-039A",43437,"PAYLOAD","SENTINEL 3B","ESA","2018-04-25","PKMTR","",100.93,98.63,804,802,"",NA,0,"LARGE",7012,2018,39,"A","Y","SENTINEL 3B","2018-039A",43437
"29804","2013-066B",39417,"PAYLOAD","ZACUBE","SAFR","2013-11-21","OREN","",97.22,97.56,666,585,"",NA,0,"SMALL",7012,2013,66,"B","Y","ZACUBE","2013-066B",39417
"29805","1999-043C",25885,"PAYLOAD","GLOBALSTAR M054","GLOB","1999-08-17","AFETR","",126.41,52.02,1970,1960,"",NA,0,"LARGE",7012,1999,43,"C","Y","GLOBALSTAR M054","1999-043C",25885
"29806","1980-058C",11877,"PAYLOAD","COSMOS 1194","CIS","1980-07-09","PKMTR","",114.95,74.02,1474,1432,"",NA,0,"MEDIUM",7012,1980,58,"C","Y","COSMOS 1194","1980-058C",11877
"29807","2013-066A",39416,"PAYLOAD","APRIZESAT 7","US","2013-11-21","OREN","",97.04,97.54,645,589,"",NA,0,"MEDIUM",7012,2013,66,"A","Y","APRIZESAT 7","2013-066A",39416
"29808","2015-073A",41103,"PAYLOAD","CHINASAT 1C","PRC","2015-12-09","XSC","",1436.1,0.88,35788,35785,"",NA,0,"LARGE",7014,2015,73,"A","Y","CHINASAT 1C","2015-073A",41103
"29809","2017-039B",42804,"PAYLOAD","IRIDIUM 123","US","2017-06-25","AFWTR","",100.4,86.4,779,776,"",NA,0,"LARGE",6999,2017,39,"B","Y","IRIDIUM 123","2017-039B",42804
"29810","2018-040A",43439,"PAYLOAD","ZHUHAI-1 OHS-01","PRC","2018-04-26","JSC","",94.83,97.37,519,502,"",NA,0,"MEDIUM",7012,2018,40,"A","Y","ZHUHAI-1 OHS-01","2018-040A",43439
"29811","2017-008BT",42013,"PAYLOAD","FLOCK 3P 53","US","2017-02-15","SRI","",94.37,97.4,493,483,"",NA,0,"SMALL",7007,2017,8,"BT","Y","FLOCK 3P 53","2017-008BT",42013
"29812","2016-012C",41339,"PAYLOAD","CHUBUSAT 3","JPN","2016-02-17","TNSTA","",95.98,31.01,575,556,"",NA,0,"MEDIUM",7006,2016,12,"C","Y","CHUBUSAT 3","2016-012C",41339
"29813","2016-059G",41789,"PAYLOAD","ALSAT 1N","ALG","2016-09-26","SRI","",98.34,98.07,699,660,"",NA,0,"SMALL",6974,2016,59,"G","Y","ALSAT 1N","2016-059G",41789
"29814","2014-033M",40021,"PAYLOAD","DUCHIFAT 1","ISRA","2014-06-19","OREN","",96.6,97.92,604,588,"",NA,0,"SMALL",7012,2014,33,"M","Y","DUCHIFAT 1","2014-033M",40021
"29815","2016-040F",41604,"PAYLOAD","BIROS","GER","2016-06-22","SRI","",94.63,97.36,509,493,"",NA,0,"MEDIUM",7015,2016,40,"F","Y","BIROS","2016-040F",41604
"29816","1998-077A",25593,"PAYLOAD","COSMOS 2364 (GLONASS)","CIS","1998-12-30","TTMTR","",675.73,63.3,19194,19066,"",NA,0,"LARGE",7012,1998,77,"A","Y","COSMOS 2364 (GLONASS)","1998-077A",25593
"29817","2014-024A",39731,"PAYLOAD","KAZEOSAT 1","KAZ","2014-04-30","FRGUI","",99.86,98.35,752,751,"",NA,0,"LARGE",7012,2014,24,"A","Y","KAZEOSAT 1","2014-024A",39731
"29818","2017-008AD",41975,"PAYLOAD","FLOCK 3P 11","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"AD","Y","FLOCK 3P 11","2017-008AD",41975
"29819","1999-008A",25634,"PAYLOAD","ARGOS","US","1999-02-23","AFWTR","",101.45,98.51,836,819,"",NA,0,"LARGE",7012,1999,8,"A","Y","ARGOS","1999-008A",25634
"29821","2017-008AB",41973,"PAYLOAD","FLOCK 3P 9","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"AB","Y","FLOCK 3P 9","2017-008AB",41973
"29822","2006-018A",29155,"PAYLOAD","GOES 13","US","2006-05-24","AFETR","",1440.4,0.09,35899,35843,"",NA,0,"LARGE",7015,2006,18,"A","Y","GOES 13","2006-018A",29155
"29823","2013-066C",39418,"PAYLOAD","SKYSAT 1","US","2013-11-21","OREN","",96.07,97.65,585,556,"",NA,0,"MEDIUM",7012,2013,66,"C","Y","SKYSAT 1","2013-066C",39418
