#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"30527","1986-073A",16969,"PAYLOAD","NOAA 10","US","1986-09-17","AFWTR","",100.83,98.48,807,789,"",NA,0,"LARGE",7014,1986,73,"A","Y","NOAA 10","1986-073A",16969
"30528","2016-033A",41556,"PAYLOAD","ZY 3 2","PRC","2016-05-30","TSC","",94.66,97.4,504,499,"",NA,0,"LARGE",7012,2016,33,"A","Y","ZY 3 2","2016-033A",41556
"30529","2016-034A",41579,"PAYLOAD","COSMOS 2517 (GEO-IK)","CIS","2016-06-04","PKMTR","",103.9,99.26,944,942,"",NA,0,"LARGE",7012,2016,34,"A","Y","COSMOS 2517 (GEO-IK)","2016-034A",41579
"30530","1976-032A",8799,"PAYLOAD","METEOR 1-24","CIS","1976-04-07","PKMTR","",102.02,81.26,880,828,"",NA,0,"LARGE",7012,1976,32,"A","Y","METEOR 1-24","1976-032A",8799
"30531","1986-007A",16497,"PAYLOAD","RADUGA 18","CIS","1986-01-17","TTMTR","",1457.28,14.32,36505,35896,"",NA,0,"LARGE",7014,1986,7,"A","Y","RADUGA 18","1986-007A",16497
"30532","1998-013A",25237,"PAYLOAD","EUTE 16B (HB 4)","EUTE","1998-02-27","FRGUI","",1465.23,5.86,36369,36341,"",NA,0,"LARGE",7015,1998,13,"A","Y","EUTE 16B (HB 4)","1998-013A",25237
"30533","1986-011A",16527,"PAYLOAD","COSMOS 1729","CIS","1986-02-01","PKMTR","",718.21,70.75,32599,7776,"",NA,0,"LARGE",7014,1986,11,"A","Y","COSMOS 1729","1986-011A",16527
"30534","2018-111Z",43899,"PAYLOAD","FLOCK 3K 5","US","2018-12-27","VOSTO","",94.46,97.29,508,477,"",NA,0,"SMALL",7012,2018,111,"Z","Y","FLOCK 3K 5","2018-111Z",43899
"30535","2009-036A",35498,"PAYLOAD","COSMOS 2451","CIS","2009-07-06","PKMTR","",116.05,82.49,1508,1498,"",NA,0,"MEDIUM",7013,2009,36,"A","Y","COSMOS 2451","2009-036A",35498
"30536","1998-016A",25258,"PAYLOAD","UFO 8 (USA 138)","US","1998-03-16","AFETR","",1436.08,8.34,35796,35776,"",NA,0,"LARGE",7015,1998,16,"A","Y","UFO 8 (USA 138)","1998-016A",25258
