,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
5,"""PAYLOAD""","""""",132.74,34.25,3830.0,654.0,"""MEDIUM""","""1958""",8620000.0,0.1842227378190255,0.0007889088075912292
14,"""PAYLOAD""","""""",121.44,32.88,2936.0,554.0,"""MEDIUM""","""1959""",8123000.0,0.1466207066354795,0.0008623168241078704
25,"""PAYLOAD""","""""",124.58,33.34,3260.0,509.0,"""MEDIUM""","""1959""",8262500.0,0.1664750378214826,0.0008405823978139329
29,"""PAYLOAD""","""""",96.26,50.28,676.0,484.0,"""MEDIUM""","""1959""",6958000.0,0.013797068123023858,0.0010878844288350277
38,"""PAYLOAD""","""""",97.66,48.38,664.0,630.0,"""MEDIUM""","""1960""",7025000.0,0.002419928825622776,0.0010722891165232417
57,"""PAYLOAD""","""""",100.44,66.69,967.0,592.0,"""MEDIUM""","""1960""",7157500.0,0.02619629758994062,0.001042610066902228
58,"""PAYLOAD""","""""",99.35,66.69,871.0,583.0,"""MEDIUM""","""1960""",7105000.0,0.020267417311752287,0.0010540488688440843
72,"""PAYLOAD""","""""",106.96,28.33,1209.0,963.0,"""LARGE""","""1960""",7464000.0,0.01647909967845659,0.0009790553021658543
124,"""PAYLOAD""","""""",102.17,28.79,1256.0,467.0,"""MEDIUM""","""1961""",7239500.0,0.054492713585192344,0.0010249560058692353
128,"""PAYLOAD""","""""",103.46,66.81,977.0,867.0,"""MEDIUM""","""1961""",7300000.0,0.007534246575342466,0.001012176252848055
153,"""PAYLOAD""","""""",103.61,66.81,984.0,874.0,"""MEDIUM""","""1961""",7307000.0,0.007527028876419871,0.0010107108881349269
448,"""PAYLOAD""","""""",99.72,47.9,777.0,713.0,"""MEDIUM""","""1961""",7123000.0,0.004492489119752913,0.0010501379374213775
494,"""PAYLOAD""","""""",105.61,32.44,1097.0,948.0,"""LARGE""","""1961""",7400500.0,0.010066887372474832,0.0009915704490072888
495,"""PAYLOAD""","""""",105.69,32.44,1103.0,951.0,"""MEDIUM""","""1961""",7405000.0,0.010263335584064821,0.0009908198989465396
509,"""PAYLOAD""","""""",99.6,48.3,795.0,684.0,"""MEDIUM""","""1962""",7117500.0,0.00779768177028451,0.0010514031638520058
570,"""PAYLOAD""","""""",98.84,58.09,843.0,563.0,"""MEDIUM""","""1962""",7081000.0,0.01977121875441322,0.0010594876074429356
579,"""PAYLOAD""","""""",157.74,44.79,5646.0,939.0,"""MEDIUM""","""1962""",9670500.0,0.24336900884132154,0.0006638757139575235
598,"""PAYLOAD""","""""",97.04,98.46,682.0,552.0,"""MEDIUM""","""1962""",6995000.0,0.009292351679771264,0.0010791400981003685
626,"""PAYLOAD""","""""",96.73,58.3,611.0,594.0,"""MEDIUM""","""1962""",6980500.0,0.0012176778167753027,0.001082598522895273
640,"""PAYLOAD""","""""",105.17,80.46,1019.0,986.0,"""LARGE""","""1962""",7380500.0,0.002235620892893435,0.0009957188848498599
683,"""PAYLOAD""","""""",107.84,50.14,1180.0,1074.0,"""MEDIUM""","""1962""",7505000.0,0.007061958694203864,0.0009710659784834918
703,"""PAYLOAD""","""""",185.05,47.52,7443.0,1314.0,"""MEDIUM""","""1962""",10756500.0,0.28489750383489054,0.0005658997844888396
706,"""PAYLOAD""","""""",103.96,52.0,1149.0,742.0,"""MEDIUM""","""1962""",7323500.0,0.027787260189799958,0.0010073081485153885
741,"""PAYLOAD""","""""",225.26,42.79,10806.0,965.0,"""MEDIUM""","""1963""",12263500.0,0.40123129612264036,0.0004648839346517792
928,"""PAYLOAD""","""""",98.0,81.98,1027.0,300.0,"""MEDIUM""","""1963""",7041500.0,0.051622523610026276,0.0010685689297924466
966,"""PAYLOAD""","""""",107.11,90.02,1125.0,1061.0,"""MEDIUM""","""1963""",7471000.0,0.004283228483469415,0.0009776842042728015
967,"""PAYLOAD""","""""",107.07,90.02,1123.0,1060.0,"""LARGE""","""1963""",7469500.0,0.004217149742285294,0.000978049454746052
1023,"""PAYLOAD""","""""",106.91,89.91,1111.0,1057.0,"""LARGE""","""1963""",7462000.0,0.0036183328866255695,0.0009795131897826189
1024,"""PAYLOAD""","""""",106.87,89.91,1108.0,1056.0,"""LARGE""","""1963""",7460000.0,0.003485254691689008,0.00097987980836212
1053,"""PAYLOAD""","""""",97.98,58.5,674.0,651.0,"""MEDIUM""","""1963""",7040500.0,0.0016334067182728498,0.001068787049598487
1061,"""PAYLOAD""","""""",103.06,69.91,914.0,893.0,"""MEDIUM""","""1964""",7281500.0,0.0014420105747442148,0.001016104745969918
1062,"""PAYLOAD""","""""",103.23,69.9,920.0,903.0,"""MEDIUM""","""1964""",7289500.0,0.0011660607723437823,0.0010144314164454108
1063,"""PAYLOAD""","""""",103.18,69.91,918.0,899.0,"""MEDIUM""","""1964""",7286500.0,0.001303780964797914,0.0010149229998028665
1064,"""PAYLOAD""","""""",103.16,69.91,918.0,898.0,"""MEDIUM""","""1964""",7286000.0,0.001372495196266813,0.0010151197665728942
1066,"""PAYLOAD""","""""",100.78,99.11,806.0,785.0,"""MEDIUM""","""1964""",7173500.0,0.0014637206384610023,0.001039092628692794
1067,"""PAYLOAD""","""""",100.85,99.13,812.0,786.0,"""MEDIUM""","""1964""",7177000.0,0.0018113417862616692,0.001038371394344668
1068,"""PAYLOAD""","""""",194.72,46.47,7637.0,1863.0,"""MEDIUM""","""1964""",11128000.0,0.25943565780014377,0.0005377966059966093
1076,"""PAYLOAD""","""""",159.28,60.84,6302.0,408.0,"""LARGE""","""1964""",9733000.0,0.30278434192951814,0.0006574570261153929
1156,"""PAYLOAD""","""""",101.78,90.52,879.0,807.0,"""LARGE""","""1964""",7221000.0,0.004985459077690071,0.0010288834262100585
1173,"""PAYLOAD""","""""",101.13,99.78,817.0,808.0,"""MEDIUM""","""1964""",7190500.0,0.0006258257422988666,0.0010354964414086797
1174,"""PAYLOAD""","""""",101.19,99.79,819.0,811.0,"""MEDIUM""","""1964""",7193000.0,0.0005560962046434033,0.0010348824500411085
1189,"""PAYLOAD""","""""",157.49,60.83,6161.0,404.0,"""LARGE""","""1964""",9660500.0,0.2979659437917292,0.0006649295518424012
1246,"""PAYLOAD""","""""",103.51,79.9,996.0,853.0,"""MEDIUM""","""1964""",7302500.0,0.009791167408421774,0.0010116873260521666
1254,"""PAYLOAD""","""""",98.37,65.06,783.0,578.0,"""LARGE""","""1964""",7058500.0,0.01452149890203301,0.001064549711493949
1275,"""PAYLOAD""","""""",106.39,90.18,1074.0,1045.0,"""MEDIUM""","""1964""",7437500.0,0.0019495798319327732,0.0009843007342763396
1276,"""PAYLOAD""","""""",104.83,90.17,1005.0,968.0,"""SMALL""","""1964""",7364500.0,0.0025120510557403762,0.0009989483460808907
1278,"""PAYLOAD""","""""",106.45,90.19,1077.0,1048.0,"""SMALL""","""1964""",7440500.0,0.0019487937638599556,0.000983745938183746
1280,"""PAYLOAD""","""""",104.18,79.69,1044.0,868.0,"""LARGE""","""1964""",7334000.0,0.011998909190073629,0.001005180985982528
1408,"""PAYLOAD""","""""",113.91,81.34,2287.0,525.0,"""MEDIUM""","""1964""",7784000.0,0.1131808838643371,0.0009193201221987515
1436,"""PAYLOAD""","""""",105.75,89.99,1060.0,999.0,"""LARGE""","""1964""",7407500.0,0.0041174485318933515,0.0009902577316279885
1437,"""PAYLOAD""","""""",106.13,90.03,1079.0,1016.0,"""MEDIUM""","""1964""",7425500.0,0.0042421385765268336,0.0009867120994974069
1471,"""PAYLOAD""","""""",118.92,96.39,2561.0,704.0,"""MEDIUM""","""1965""",8010500.0,0.11591036764246926,0.0008805899354159079
1671,"""PAYLOAD""","""""",103.14,70.08,920.0,894.0,"""MEDIUM""","""1965""",7285000.0,0.0017844886753603294,0.0010153166096534786
1672,"""PAYLOAD""","""""",103.18,70.08,922.0,895.0,"""MEDIUM""","""1965""",7286500.0,0.0018527413710286145,0.0010149229998028665
1673,"""PAYLOAD""","""""",102.81,70.08,906.0,877.0,"""MEDIUM""","""1965""",7269500.0,0.0019946351193342047,0.001018575577469699
1674,"""PAYLOAD""","""""",103.25,70.08,927.0,898.0,"""MEDIUM""","""1965""",7290500.0,0.001988889650915575,0.0010142349164131697
1675,"""PAYLOAD""","""""",103.18,70.08,922.0,896.0,"""MEDIUM""","""1965""",7287000.0,0.0017839989021545218,0.0010149229998028665
1676,"""PAYLOAD""","""""",102.38,70.08,886.0,857.0,"""MEDIUM""","""1965""",7249500.0,0.002000137940547624,0.0010228536346909532
1678,"""PAYLOAD""","""""",103.28,70.08,929.0,898.0,"""MEDIUM""","""1965""",7291500.0,0.0021257628745799903,0.0010139403090594478
1865,"""PAYLOAD""","""""",111.48,90.27,1317.0,1272.0,"""LARGE""","""1965""",7672500.0,0.002932551319648094,0.0009393591237859685
1890,"""PAYLOAD""","""""",111.4,90.26,1314.0,1268.0,"""MEDIUM""","""1965""",7669000.0,0.0029990872343199897,0.0009400337084350069
2042,"""PAYLOAD""","""""",107.57,41.19,1309.0,920.0,"""LARGE""","""1965""",7492500.0,0.025959292625959293,0.00097350334777038
2090,"""PAYLOAD""","""""",106.55,89.91,1121.0,1013.0,"""LARGE""","""1965""",7445000.0,0.007253190060443251,0.0009828226665383366
2112,"""PAYLOAD""","""""",99.98,98.35,798.0,716.0,"""MEDIUM""","""1965""",7135000.0,0.005746320953048353,0.0010474070326031183
2155,"""PAYLOAD""","""""",122.17,69.23,2416.0,1139.0,"""MEDIUM""","""1965""",8155500.0,0.07829072405125376,0.0008571642393358416
2187,"""PAYLOAD""","""""",103.17,90.04,937.0,880.0,"""LARGE""","""1965""",7286500.0,0.003911342894393742,0.0010150213736518346
2189,"""PAYLOAD""","""""",107.99,89.91,1185.0,1083.0,"""SMALL""","""1965""",7512000.0,0.006789137380191693,0.0009697171508441501
2190,"""PAYLOAD""","""""",107.87,89.89,1180.0,1076.0,"""LARGE""","""1965""",7506000.0,0.006927791100452971,0.0009707959128549157
2191,"""PAYLOAD""","""""",106.75,89.93,1118.0,1034.0,"""SMALL""","""1965""",7454000.0,0.005634558626240944,0.0009809813125963446
2192,"""PAYLOAD""","""""",107.8,90.0,1178.0,1072.0,"""SMALL""","""1965""",7503000.0,0.007063841130214581,0.0009714262998113152
2193,"""PAYLOAD""","""""",107.8,89.94,1178.0,1072.0,"""MEDIUM""","""1965""",7503000.0,0.007063841130214581,0.0009714262998113152
2217,"""PAYLOAD""","""""",114.95,56.06,1532.0,1374.0,"""MEDIUM""","""1965""",7831000.0,0.010088111352317712,0.000911002654368506
2218,"""PAYLOAD""","""""",115.31,56.06,1539.0,1400.0,"""MEDIUM""","""1965""",7847500.0,0.008856323669958586,0.0009081584868585532
2219,"""PAYLOAD""","""""",115.65,56.06,1544.0,1426.0,"""MEDIUM""","""1965""",7863000.0,0.007503497392852601,0.0009054885872862929
2220,"""PAYLOAD""","""""",116.03,56.05,1557.0,1448.0,"""MEDIUM""","""1965""",7880500.0,0.0069158048347186096,0.000902523098506074
2221,"""PAYLOAD""","""""",116.41,56.05,1569.0,1469.0,"""MEDIUM""","""1965""",7897000.0,0.006331518298087881,0.0008995769703604483
2226,"""PAYLOAD""","""""",100.87,98.34,967.0,632.0,"""MEDIUM""","""1965""",7177500.0,0.023336816440264717,0.0010381655112487336
2232,"""PAYLOAD""","""""",115.03,56.06,1624.0,1290.0,"""MEDIUM""","""1965""",7835000.0,0.021314613911933632,0.0009103690786721704
2233,"""PAYLOAD""","""""",115.44,56.06,1633.0,1318.0,"""MEDIUM""","""1965""",7853500.0,0.02005475265805055,0.0009071357858598387
2234,"""PAYLOAD""","""""",115.82,56.06,1642.0,1343.0,"""MEDIUM""","""1965""",7870500.0,0.018994981259132203,0.0009041595157974424
2235,"""PAYLOAD""","""""",116.23,56.06,1643.0,1379.0,"""MEDIUM""","""1965""",7889000.0,0.016732158701990112,0.0009009701034127141
2236,"""PAYLOAD""","""""",116.64,56.06,1656.0,1404.0,"""MEDIUM""","""1965""",7908000.0,0.015933232169954476,0.0008978031131658074
2254,"""PAYLOAD""","""""",112.51,144.24,2284.0,399.0,"""MEDIUM""","""1965""",7719500.0,0.12209339983159531,0.000930759533549549
2314,"""PAYLOAD""","""""",99.09,32.3,728.0,701.0,"""MEDIUM""","""1965""",7092500.0,0.0019034191046880507,0.001056814563726509
2779,"""PAYLOAD""","""""",120.3,59.38,2271.0,1117.0,"""LARGE""","""1965""",8072000.0,0.0714816650148662,0.000870488404984703
2797,"""PAYLOAD""","""""",99.98,59.71,847.0,668.0,"""MEDIUM""","""1965""",7135500.0,0.012542919206782986,0.0010474070326031183
2813,"""PAYLOAD""","""""",106.9,34.26,1644.0,522.0,"""MEDIUM""","""1965""",7461000.0,0.07519099316445517,0.0009796048187058913
2820,"""PAYLOAD""","""""",117.5,79.8,2637.0,500.0,"""MEDIUM""","""1965""",7946500.0,0.13446171270370602,0.0008912319584651895
2821,"""PAYLOAD""","""""",119.43,79.81,2809.0,502.0,"""MEDIUM""","""1965""",8033500.0,0.1435862326507749,0.000876829566437744
2837,"""PAYLOAD""","""""",98.17,75.87,676.0,666.0,"""MEDIUM""","""1965""",7049000.0,0.0007093204709887927,0.001066718499741874
2963,"""PAYLOAD""","""""",300.96,26.63,16728.0,268.0,"""LARGE""","""1965""",14876000.0,0.553240118311374,0.0003479524027101933
2968,"""PAYLOAD""","""""",104.48,89.08,1050.0,890.0,"""LARGE""","""1965""",7348000.0,0.010887316276537834,0.001002294746551108
3002,"""PAYLOAD""","""""",105.32,90.19,1170.0,848.0,"""LARGE""","""1966""",7387000.0,0.021795045349939084,0.000994300751231103
3020,"""PAYLOAD""","""""",99.52,97.93,793.0,678.0,"""MEDIUM""","""1966""",7113500.0,0.008083222042595066,0.0010522483432441698
3075,"""PAYLOAD""","""""",114.28,34.09,2347.0,498.0,"""LARGE""","""1966""",7800500.0,0.11851804371514646,0.000916343674480747
3097,"""PAYLOAD""","""""",113.44,101.23,1415.0,1354.0,"""MEDIUM""","""1966""",7762500.0,0.00392914653784219,0.0009231290119857174
3120,"""PAYLOAD""","""""",104.76,89.69,1092.0,874.0,"""LARGE""","""1966""",7361000.0,0.014807770683331068,0.0009996158373392493
3126,"""PAYLOAD""","""""",103.82,144.5,1001.0,878.0,"""MEDIUM""","""1966""",7317500.0,0.008404509736932013,0.0010086664912315525
3127,"""PAYLOAD""","""""",105.43,144.63,1050.0,979.0,"""MEDIUM""","""1966""",7392500.0,0.0048021643557659794,0.000993263351225076
3135,"""PAYLOAD""","""""",98.84,98.02,814.0,592.0,"""MEDIUM""","""1966""",7081000.0,0.015675752012427623,0.0010594876074429356
3155,"""PAYLOAD""","""""",100.43,35.04,783.0,774.0,"""LARGE""","""1966""",7156500.0,0.0006287989939216097,0.0010427138815061214
3162,"""PAYLOAD""","""""",118.7,82.38,2911.0,334.0,"""MEDIUM""","""1966""",8000500.0,0.16105243422286109,0.0008822220313366451
3184,"""PAYLOAD""","""""",107.98,100.49,1175.0,1092.0,"""LARGE""","""1966""",7511500.0,0.0055248618784530384,0.0009698069560998312
3254,"""PAYLOAD""","""""",102.63,90.18,939.0,828.0,"""LARGE""","""1966""",7261500.0,0.0076430489568271014,0.0010203620298125282
3337,"""PAYLOAD""","""""",142.62,40.88,4684.0,644.0,"""MEDIUM""","""1966""",9042000.0,0.223401902234019,0.0007342571527111188
3516,"""PAYLOAD""","""""",110.99,81.38,2205.0,340.0,"""MEDIUM""","""1966""",7650500.0,0.12188745833605646,0.0009435062178543993
3533,"""PAYLOAD""","""""",106.4,88.85,1085.0,1034.0,"""LARGE""","""1966""",7437500.0,0.0034285714285714284,0.0009842082248088324
3580,"""PAYLOAD""","""""",99.87,98.18,838.0,667.0,"""MEDIUM""","""1966""",7130500.0,0.01199074398709768,0.0010485606800807025
3591,"""PAYLOAD""","""""",114.57,100.94,1486.0,1386.0,"""MEDIUM""","""1966""",7814000.0,0.0063987714358843106,0.0009140242220446868
3756,"""PAYLOAD""","""""",138.89,99.09,4538.0,474.0,"""MEDIUM""","""1966""",8884000.0,0.22872579918955427,0.00075397620505191
3817,"""PAYLOAD""","""""",113.4,101.94,1439.0,1326.0,"""MEDIUM""","""1967""",7760500.0,0.007280458733329038,0.0009234546306848304
3827,"""PAYLOAD""","""""",100.9,98.93,837.0,766.0,"""MEDIUM""","""1967""",7179500.0,0.0049446340274392365,0.0010378568396398392
3829,"""PAYLOAD""","""""",98.93,39.92,894.0,521.0,"""MEDIUM""","""1967""",7085500.0,0.026321360525015877,0.0010585237553791546
3848,"""PAYLOAD""","""""",107.61,39.45,1652.0,580.0,"""MEDIUM""","""1967""",7494000.0,0.0715238857752869,0.000973141484245514
3922,"""PAYLOAD""","""""",106.13,90.2,1062.0,1033.0,"""LARGE""","""1967""",7425500.0,0.001952730455861558,0.0009867120994974069
3935,"""PAYLOAD""","""""",113.52,101.8,1421.0,1355.0,"""MEDIUM""","""1967""",7766000.0,0.00424929178470255,0.0009224784629991171
3964,"""PAYLOAD""","""""",100.24,74.04,810.0,729.0,"""LARGE""","""1967""",7147500.0,0.005666316894018888,0.001044690294489822
3976,"""PAYLOAD""","""""",106.64,89.65,1088.0,1055.0,"""LARGE""","""1967""",7449500.0,0.0022149137526008456,0.0009819932025474474
3996,"""PAYLOAD""","""""",99.33,69.93,733.0,719.0,"""MEDIUM""","""1967""",7104000.0,0.0009853603603603603,0.0010542611005704195
3998,"""PAYLOAD""","""""",103.04,69.97,909.0,896.0,"""MEDIUM""","""1967""",7280500.0,0.0008927958244626055,0.0010163019712699898
3999,"""PAYLOAD""","""""",103.16,69.97,915.0,901.0,"""MEDIUM""","""1967""",7286000.0,0.0009607466373867692,0.0010151197665728942
4000,"""PAYLOAD""","""""",102.72,69.97,890.0,885.0,"""MEDIUM""","""1967""",7265500.0,0.0003440919413667332,0.0010194680210247253
4001,"""PAYLOAD""","""""",102.94,69.98,901.0,894.0,"""MEDIUM""","""1967""",7275500.0,0.000481066593361281,0.0010172892473252358
4002,"""PAYLOAD""","""""",103.01,69.98,907.0,895.0,"""MEDIUM""","""1967""",7279000.0,0.0008242890506937766,0.0010165979528168117
4003,"""PAYLOAD""","""""",103.12,69.97,913.0,900.0,"""MEDIUM""","""1967""",7284500.0,0.0008923055803418217,0.0010155135290890202
4004,"""PAYLOAD""","""""",98.45,69.95,690.0,679.0,"""SMALL""","""1967""",7062500.0,0.0007787610619469027,0.0010636846634805462
4087,"""PAYLOAD""","""""",101.78,98.81,871.0,815.0,"""MEDIUM""","""1967""",7221000.0,0.0038775792826478326,0.0010288834262100585
4125,"""PAYLOAD""","""""",106.43,89.25,1096.0,1027.0,"""LARGE""","""1967""",7439500.0,0.004637408427985752,0.0009839308007108876
4146,"""PAYLOAD""","""""",98.67,99.21,765.0,625.0,"""MEDIUM""","""1967""",7073000.0,0.00989679061218719,0.0010613130142866096
4197,"""PAYLOAD""","""""",114.81,102.14,1485.0,1409.0,"""MEDIUM""","""1967""",7825000.0,0.0048562300319488815,0.0009121135364485651
4204,"""PAYLOAD""","""""",98.92,74.01,713.0,701.0,"""LARGE""","""1967""",7085000.0,0.0008468595624558928,0.0010586307634417689
4243,"""PAYLOAD""","""""",103.36,65.14,945.0,890.0,"""LARGE""","""1967""",7295500.0,0.003769446919333836,0.001013155525538504
4248,"""PAYLOAD""","""""",112.19,105.78,1574.0,1081.0,"""LARGE""","""1968""",7705500.0,0.03199013691519045,0.0009334143428082697
4288,"""PAYLOAD""","""""",109.24,74.05,1201.0,1182.0,"""LARGE""","""1968""",7569500.0,0.0012550366602813925,0.00095862097326675
4291,"""PAYLOAD""","""""",106.58,90.0,1125.0,1012.0,"""LARGE""","""1968""",7446500.0,0.0075874571946552075,0.0009825460228904087
4324,"""PAYLOAD""","""""",103.02,65.33,934.0,869.0,"""LARGE""","""1968""",7279500.0,0.004464592348375576,0.001016499273147542
4349,"""PAYLOAD""","""""",198.52,99.96,9218.0,571.0,"""MEDIUM""","""1968""",11272500.0,0.38354402306498114,0.000527502292563267
4350,"""PAYLOAD""","""""",206.8,100.01,9822.0,590.0,"""MEDIUM""","""1968""",11584000.0,0.39848066298342544,0.0005063817945824941
4382,"""PAYLOAD""","""""",97.54,74.03,668.0,614.0,"""LARGE""","""1968""",7019000.0,0.003846701809374555,0.0010736083157644018
4388,"""PAYLOAD""","""""",101.74,98.71,880.0,802.0,"""MEDIUM""","""1968""",7219000.0,0.005402410306136584,0.001029287941022801
4472,"""PAYLOAD""","""""",117.75,80.66,2481.0,678.0,"""LARGE""","""1968""",7957500.0,0.11328934967012252,0.0008893397462391488
4487,"""PAYLOAD""","""""",114.93,101.37,1473.0,1431.0,"""MEDIUM""","""1968""",7830000.0,0.0026819923371647508,0.000911161186110326
4577,"""PAYLOAD""","""""",111.13,62.34,2061.0,496.0,"""LARGE""","""1968""",7656500.0,0.10220074446548684,0.0009423176020845837
4686,"""PAYLOAD""","""""",100.89,98.35,822.0,780.0,"""MEDIUM""","""1968""",7179000.0,0.0029251984956122023,0.0010379597097795598
4703,"""PAYLOAD""","""""",111.85,62.32,2093.0,530.0,"""LARGE""","""1968""",7689500.0,0.10163209571493595,0.000936251722124808
4862,"""PAYLOAD""","""""",109.35,74.05,1222.0,1172.0,"""LARGE""","""1968""",7575000.0,0.0033003300330033004,0.0009576566540435279
4869,"""PAYLOAD""","""""",99.59,35.0,743.0,735.0,"""LARGE""","""1968""",7117000.0,0.0005620345651257552,0.001051508737018373
4874,"""PAYLOAD""","""""",114.24,80.36,1465.0,1377.0,"""MEDIUM""","""1968""",7799000.0,0.005641748942172073,0.0009166645231062655
4880,"""PAYLOAD""","""""",114.63,101.46,1464.0,1414.0,"""MEDIUM""","""1968""",7817000.0,0.0031981578610720224,0.0009135458005727975
4956,"""PAYLOAD""","""""",127.49,88.42,3449.0,576.0,"""LARGE""","""1969""",8390500.0,0.1712055300637626,0.0008213958359060301
4961,"""PAYLOAD""","""""",113.98,80.39,1427.0,1390.0,"""MEDIUM""","""1969""",7786500.0,0.0023759070185577604,0.00091875552833532
4993,"""PAYLOAD""","""""",115.21,101.54,1505.0,1425.0,"""MEDIUM""","""1969""",7843000.0,0.005100089251561903,0.0009089467504527365
5031,"""PAYLOAD""","""""",109.27,73.99,1207.0,1179.0,"""LARGE""","""1969""",7571000.0,0.0018491612732796196,0.0009583577845672167
5036,"""PAYLOAD""","""""",150.63,104.75,5522.0,477.0,"""MEDIUM""","""1969""",9377500.0,0.26899493468408425,0.0006952118111907307
5101,"""PAYLOAD""","""""",107.26,99.87,1130.0,1070.0,"""LARGE""","""1969""",7478000.0,0.004011767852366943,0.0009763169412610457
5102,"""PAYLOAD""","""""",107.23,99.85,1128.0,1069.0,"""MEDIUM""","""1969""",7476500.0,0.003945696515749348,0.0009765900878453769
5168,"""PAYLOAD""","""""",100.79,98.65,829.0,764.0,"""MEDIUM""","""1969""",7174500.0,0.004529932399470346,0.0010389895338789538
5206,"""PAYLOAD""","""""",99.06,74.05,722.0,706.0,"""LARGE""","""1969""",7092000.0,0.0011280315848843769,0.0010571346165925677
5259,"""PAYLOAD""","""""",102.97,70.01,911.0,888.0,"""MEDIUM""","""1969""",7277500.0,0.0015802129852284439,0.0010169928631607243
5284,"""PAYLOAD""","""""",103.16,70.02,922.0,894.0,"""MEDIUM""","""1969""",7286000.0,0.0019214932747735384,0.0010151197665728942
5309,"""PAYLOAD""","""""",103.24,70.01,927.0,897.0,"""MEDIUM""","""1969""",7290000.0,0.00205761316872428,0.0010143331569126286
5334,"""PAYLOAD""","""""",103.18,70.02,923.0,895.0,"""MEDIUM""","""1969""",7287000.0,0.0019212295869356388,0.0010149229998028665
5359,"""PAYLOAD""","""""",103.19,70.02,923.0,895.0,"""LARGE""","""1969""",7287000.0,0.0019212295869356388,0.0010148246450204456
5384,"""PAYLOAD""","""""",103.21,70.01,925.0,896.0,"""MEDIUM""","""1969""",7288500.0,0.0019894354119503327,0.0010146279926330761
5409,"""PAYLOAD""","""""",103.18,70.02,923.0,896.0,"""SMALL""","""1969""",7287500.0,0.0018524871355060034,0.0010149229998028665
5434,"""PAYLOAD""","""""",95.84,69.96,561.0,557.0,"""MEDIUM""","""1969""",6937000.0,0.00028830906732016723,0.001092651868944697
5459,"""PAYLOAD""","""""",101.05,70.0,818.0,799.0,"""MEDIUM""","""1969""",7186500.0,0.001321923050163501,0.0010363162307734763
5524,"""PAYLOAD""","""""",99.58,74.04,748.0,729.0,"""LARGE""","""1969""",7116500.0,0.0013349258764842268,0.001051614331388429
5535,"""PAYLOAD""","""""",100.55,102.69,1215.0,355.0,"""MEDIUM""","""1969""",7163000.0,0.06003071338824515,0.0010414694691164572
5555,"""PAYLOAD""","""""",108.5,74.02,1175.0,1140.0,"""LARGE""","""1969""",7535500.0,0.0023223409196470044,0.0009651590333609195
5597,"""PAYLOAD""","""""",115.01,101.62,1478.0,1434.0,"""LARGE""","""1970""",7834000.0,0.002808271636456472,0.0009105273899631316
5598,"""PAYLOAD""","""""",115.0,101.52,1477.0,1434.0,"""MEDIUM""","""1970""",7833500.0,0.0027446224548413863,0.000910606566257911
5600,"""PAYLOAD""","""""",106.0,99.14,1044.0,1038.0,"""LARGE""","""1970""",7419000.0,0.0004043671653861706,0.0009879222181099977
5604,"""PAYLOAD""","""""",100.5,98.83,824.0,740.0,"""MEDIUM""","""1970""",7160000.0,0.005865921787709497,0.001041987613130943
5634,"""PAYLOAD""","""""",107.09,99.95,1098.0,1086.0,"""LARGE""","""1970""",7470000.0,0.0008032128514056225,0.0009778667954025563
5659,"""PAYLOAD""","""""",106.94,99.93,1087.0,1083.0,"""MEDIUM""","""1970""",7463000.0,0.00026798874447273214,0.0009792384058318663
6082,"""PAYLOAD""","""""",99.2,74.04,724.0,717.0,"""LARGE""","""1970""",7098500.0,0.0004930619144889766,0.0010556426927385057
6099,"""PAYLOAD""","""""",110.08,68.42,2028.0,432.0,"""LARGE""","""1970""",7608000.0,0.10488958990536278,0.0009513059149678395
6105,"""PAYLOAD""","""""",115.42,74.03,1485.0,1464.0,"""MEDIUM""","""1970""",7852500.0,0.0013371537726838587,0.0009072929745248638
6106,"""PAYLOAD""","""""",116.2,74.03,1553.0,1467.0,"""MEDIUM""","""1970""",7888000.0,0.00545131845841785,0.0009012027118731478
6107,"""PAYLOAD""","""""",115.82,74.03,1517.0,1468.0,"""MEDIUM""","""1970""",7870500.0,0.0031128899053427354,0.0009041595157974424
6108,"""PAYLOAD""","""""",115.03,74.03,1469.0,1445.0,"""MEDIUM""","""1970""",7835000.0,0.0015315890236119974,0.0009103690786721704
6109,"""PAYLOAD""","""""",114.62,74.03,1470.0,1407.0,"""MEDIUM""","""1970""",7816500.0,0.004029936672423719,0.0009136255027016206
6110,"""PAYLOAD""","""""",113.9,74.03,1469.0,1342.0,"""MEDIUM""","""1970""",7783500.0,0.00815828354853215,0.0009194008351155379
6111,"""PAYLOAD""","""""",113.54,74.03,1468.0,1310.0,"""MEDIUM""","""1970""",7767000.0,0.010171237285953393,0.0009223159689947134
6112,"""PAYLOAD""","""""",114.25,74.03,1468.0,1375.0,"""MEDIUM""","""1970""",7799500.0,0.005961920635938201,0.0009165842898876128
6136,"""PAYLOAD""","""""",101.73,81.22,870.0,812.0,"""LARGE""","""1970""",7219000.0,0.004017176894306691,0.001029389119430451
6179,"""PAYLOAD""","""""",106.6,89.91,1196.0,942.0,"""LARGE""","""1970""",7447000.0,0.017053847186786625,0.000982361680296996
6192,"""PAYLOAD""","""""",100.36,98.89,822.0,730.0,"""MEDIUM""","""1970""",7154000.0,0.006429969247973162,0.0010434411630097626
6218,"""PAYLOAD""","""""",104.47,65.28,1017.0,922.0,"""LARGE""","""1970""",7347500.0,0.006464783940115686,0.0010023906874668303
