,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46909,"""PAYLOAD""","""""",99.3,98.2,792.0,659.0,"""LARGE""","""2020""",7103500.0,0.00936158231857535,0.0010545796084557883
46914,"""PAYLOAD""","""""",96.08,53.98,575.0,566.0,"""""","""2020""",6948500.0,0.0006476217888752968,0.0010899225137350102
46915,"""PAYLOAD""","""""",96.07,53.98,576.0,564.0,"""""","""2020""",6948000.0,0.0008635578583765112,0.0010900359646055977
46916,"""PAYLOAD""","""""",96.05,53.98,575.0,564.0,"""""","""2020""",6947500.0,0.000791651673263764,0.0010902629372166557
46917,"""PAYLOAD""","""""",96.04,53.98,573.0,564.0,"""""","""2020""",6946500.0,0.0006478082487583676,0.0010903764589718843
46927,"""PAYLOAD""","""""",94.66,97.45,511.0,493.0,"""LARGE""","""2020""",6880000.0,0.001308139534883721,0.0011062725028487194
46938,"""PAYLOAD""","""""",94.52,97.43,505.0,486.0,"""LARGE""","""2020""",6873500.0,0.001382119735214956,0.0011079110782867094
46939,"""PAYLOAD""","""""",94.4,97.43,502.0,477.0,"""MEDIUM""","""2020""",6867500.0,0.0018201674554058974,0.0011093194398269044
46940,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46941,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46942,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46943,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46944,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46945,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46946,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46948,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46949,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46950,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46951,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46952,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46953,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46954,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46955,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46956,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46957,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46958,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46959,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46960,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46961,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46962,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46963,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46964,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46965,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46966,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46967,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46968,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
