INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092ATY","50881","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.69","82.65","434","379","","","0","SMALL","7965","1982","92","ATY","Y","COSMOS 1408 DEB","1982-092ATY","50881"
"1982-092ATZ","50882","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.70","82.89","475","437","","","0","SMALL","7965","1982","92","ATZ","Y","COSMOS 1408 DEB","1982-092ATZ","50882"
"1982-092AU","49555","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","99.83","82.97","1100","401","","","0","SMALL","7965","1982","92","AU","Y","COSMOS 1408 DEB","1982-092AU","49555"
"1982-092AUA","50883","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","90.33","82.48","302","279","","","0","SMALL","7959","1982","92","AUA","Y","COSMOS 1408 DEB","1982-092AUA","50883"
"1982-092AUB","50884","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.50","82.52","454","437","","","0","SMALL","7965","1982","92","AUB","Y","COSMOS 1408 DEB","1982-092AUB","50884"
"1982-092AUC","50885","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","96.54","82.93","731","455","","","0","SMALL","7962","1982","92","AUC","Y","COSMOS 1408 DEB","1982-092AUC","50885"
"1982-092AUD","50886","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.03","82.51","499","444","","","0","SMALL","7965","1982","92","AUD","Y","COSMOS 1408 DEB","1982-092AUD","50886"
"1982-092AUE","50887","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.15","82.51","591","461","","","0","SMALL","7965","1982","92","AUE","Y","COSMOS 1408 DEB","1982-092AUE","50887"
"1982-092AUF","50888","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.66","82.62","485","422","","","0","SMALL","7965","1982","92","AUF","Y","COSMOS 1408 DEB","1982-092AUF","50888"
"1982-092AUG","50889","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.44","82.49","524","459","","","0","SMALL","7964","1982","92","AUG","Y","COSMOS 1408 DEB","1982-092AUG","50889"
